,reviewerID,reviewContent,rating,usefulCount,date,reviewerID,firstCount,reviewCount,Filtered
-9EJGRB2U43CnoCBoP2_UA,XYSDrIef7g4Gmp3lNFVO6A,There are a number of Hudson News at McCarran. This one is located in in the D Concourse at a major intersection in the Concourse. It is one of the largest Hudson News locations I've ever seen. Picked up bottled water and several magazines for the flight home. Lots of snacks soda bottled water books and magazines toiletries - and more are available here.,4,2,3/13/2010,XYSDrIef7g4Gmp3lNFVO6A,1388,2530,0
-9eyN_yp14G0FX7pnd8lGw,0GNzUcrdgVkGrt0MqjMLJw,Came here on the recommendation of a friend.  She was right.  Excellent Indian food at excellent prices.  We had two entrees an appetizer and naan for less than $30 (including tip and we tip well).  We'd probably have to pay twice that back home (Indiana) for such good food.  I had the lamb vindaloo which was perfect and my wife had the chicken tikka masalla which she said was one of the best she ever had.  Naan was great (soft on one side crispy on the other) and the lamb samosa was perfectly seasoned.  We left full and happy.,5,0,8/23/2010,0GNzUcrdgVkGrt0MqjMLJw,16,198,1
-9FRzJXDRAEF0405c84v6Q,hYPVPwbAdcaPeqJ2N_PAcA,The girls at the entrance as always offer a warm welcome into The Miami Club. I have a short while until my flight home the menu was looking good and the service was fast.  Sushi and the Salad with a Latte to keep me going.   As always Thanks AA Admirals Club Staff.,5,0,Update - 2/14/2012,hYPVPwbAdcaPeqJ2N_PAcA,65,246,0
-9Fs2FuVxtWMaeGD2FwssQ,XYSDrIef7g4Gmp3lNFVO6A,After seeing three folks on my Friends list Yelp about this place: Jamie M. Kendall A. and Nat. T. I knew I had to check the place out. So this Sunday I wandered over for breakfast albeit a late one - it was 11:30 am when I arrived. As Jamie M. mentions - it's right on the railroad tracks in Old Town Manassas - right across the tracks from the train station - where Amtrak and Virginia Railway Express (VRE) riders board trains. There is outdoor seating - with a nice view of the rail station and the trains as they come through - although no one was sitting outside due to the fact that it was a bit breezy and chilly today. As I entered - I noted there was a decent amount of folks on hand eating - a good sign. I elected to sit at a high two top table by the small bar since I was by myself.,4,7,5/17/2009,XYSDrIef7g4Gmp3lNFVO6A,1388,2530,0
-9G4mYOwwHBVR2APhizPvQ,nOr3_aq60yivqgcso_iDMw,Navy Pier is a beautiful amenity on Chicago's shoreline.  There is a shopping mall and plenty of food.  It even has its own beer garden. My wife and I visited Navy Pier after dark and it's one of those dreamy places that teenagers go on their first dates.  It also makes a nice date for a couple that has been married for eight years!  We shopped rode Ferris Wheel and took some pictures.  It was a terrific evening. Downtown Chicago has got to be one of the most clean and beautiful cities in the United States. http://www.navypier.com/,5,0,6/26/2010,nOr3_aq60yivqgcso_iDMw,76,232,1
-9huG4LmEoXhpvs2wBEb7A,KYtrBL_Cp1CudlGC1XiiSA,Came here to see some Zarzuela the place is quite a historical piece of Miami. Good capacity decent acoustics and fairly comfortable. Our experience however was a bit surreal... a fan of the Zarzuela for its underlying humor highlighted by incredible vocal performances the stories are both compelling and witty. We didn't realize that there is a whole generation in Miami that as fans of this genre have made it a point to learn the words to every single piece and they sing along during the show. What the hell !!!! Sing along with the tenors and the sopranos really ? How fucking rude can that possibly be these are the posers or times past dressed in their Sunday best wearing too much aqua velva or rose water and with their purple hairs they roll up in their buicks and stare you down,3,3,2/06/2010,KYtrBL_Cp1CudlGC1XiiSA,174,1022,0
-9JF1m4TE8wV8QoIYUTPWQ,jp4X9H56zjjLacnpHz02Iw,I'm a little confused by Belk. I'm from the Northwest and have never heard of this chain before. I walked through with my husband and it seems to be a lower-end Macy's. It has the standard 'bedding' department and the 'clothing' department. I didn't really shop through as it wasn't my 'style' but I can see where it would fill in for Macy*s (which is not at this mall),3,0,9/06/2011,jp4X9H56zjjLacnpHz02Iw,68,519,0
-9m-1eUD5TXmOxfrQSfpDg,mgs2LaOWDxmW2jmp30shxA,Their Italian has only been bested by Lee's Hoagie House in Philly...and I think the staff tries to imitate all that brotherly love that we all came to DE to get away from...,4,0,1/03/2012,mgs2LaOWDxmW2jmp30shxA,5,36,0
-9mTsmbCVrJYQTBPqTYesg,HUmClClluKP5Ur6X7e306Q,It's a weird building.  It kind of looks like a weird futuristic city built into the middle of MIT.  It's also a little weird to go through if you've never been there before as there's so much going on and so many different entrances and exits. I like it primarily because my primary gym is here (the Alumni Center) and I can easily work out midday without any wait for a machine.   There is a lot of construction going on outside of it so the parking's decreased and I don't know what they're building there (maybe a building that looks like a futuristic park or something...),4,1,5/08/2008,HUmClClluKP5Ur6X7e306Q,128,900,0
-9nCoTJzx8pIfiYKk6CcbQ,h5bfJtPqCAQ0G0ozj4Dbcg,Yet another stop on the extensive Benson Pub Crawl the R Bar is an interesting mix of blue collar and white trash that explains why every time I end up here I find Dallas Cowboys fans.  Contrary to what the name might lead you to believe it's not pirate-themed which is a major disappointment.   The added bonus is that the Nebraska Cornhuskers could be playing football on the Siberian Food Network and they would have the game on TV.,3,2,12/11/2007,h5bfJtPqCAQ0G0ozj4Dbcg,136,269,0
-9OzjwzZqZ-ffIEH3kcMbg,0Igx-a1wAstiBDerGxXk2A,SoFaB is an interesting space.  And I hope they grow into something greater than they are right now.  I thought the White House china exhibit was cool (but is it Southern?).  And they had a copy of my FAVe childhood cookbook in the kids section.  They get a +1 from me for ambition and potential.,4,0,10/05/2009,0Igx-a1wAstiBDerGxXk2A,302,917,0
-9PckGZ2_umH5loUmoRkyA,WgaycWkFXshvGtct42d_-w,Save On is the name.... not sure about that tho. Produce is fresher than No Frills but eeesshh I am seriously cheap and you won't be saving on anything here. This place is good for gluten free stuff and the bulk candy section makes my LIFE haaaammmazing. But if you don't have a member card and if you don't really pay attention to prices you may as well bend over so Save On can start calling you it's Bitc....errrr customer. Packaged organic food here is cheaper than Whole Paycheck and there is a better organic selection than No Frills but I dunno maybe I just like yellow and Presidents Choice but I am a No Frills gal forever. Gluten Free + Bulk Candy = Good Everything else = Bad. ** I will say hotter guys shop at this grocery store than No Frills. Extra star for that.,3,0,10/10/2012,WgaycWkFXshvGtct42d_-w,7,106,0
-9rHEwMMwGwSp8LXeiH6lA,dD1_XwgaHM0oxlx2XeYgZw,I am SO full of shame right now. I lived in Denver for nearly 4 years and visited the 'city' frequently for about 10 years before that. I never ever walked into this place (even when I lived a block away). Please forgive me for the trespasses against you. But I have an excuse!!! I had given up on used book stores. See some people have great eyes and they don't get overwhelmed by lots of crap piled up. They can find the needle in the haystack the diamond in the rough the other adage and the next. But I can't keep my peepers from crossing and giving up. Kilgore! You're like the pair of xray specs (RIP Poly) I always needed. The place is small but it is surprisingly well organized. The alphabetization actually exists and is maintained! Halleloo! The sections are really well broken-up and th,4,2,12/22/2011,dD1_XwgaHM0oxlx2XeYgZw,17,204,0
-9rKTGdzJ_ZY6IIev26FnQ,KI-9yFtnX0xKjR0810nJjg,This is really long I know and it's only part of my story.  I feel it's important for people to be aware of what I would consider gross negligence.  It basically details my experience with this clinic.   So far no one has even bothered to respond to my letter that I sent to Dr. Vail along with several others who were copied.  I'm under the impression that these doctors truly do not care.   This is only my experience but if you're in pain and suffering a great deal having to wait even a few days for treatment can be devastating both emotionally and physically.  I now have back and hip issues to deal with because I've been dragging around a heavy (removal) cast most of these months.  Also now my foot (from lack of treatment) has taken a turn for the worse. The letter addressed to Dr. Vai,1,6,3/11/2009,KI-9yFtnX0xKjR0810nJjg,0,109,1
-9TX6dLAlw1XZs9vVuEZOQ,CQPewybuIByC8wgps9CmqA,Since my group's favorite Chinese restaurant Sun-Wah's was closed for remodeling or vacation we decided to try Wing Hoe for lunch. The restaurant is converted from a house to a restaurant.  You enter through the what would have been the front porch.  You walk up a flight of stairs and for those that have problems with stairs they have an electric chair.  You will be greeted by the hostess in the odd shaped room which I think it was the living room  We sat in another room I assume it was the dining room. Both the of the rooms needed a bit of updating light paneling and carpeting just so out dated. I had ordered an egg roll for an appetizer which was okay.  The egg roll was mostly fulled with cabbage.  I did find one little shrimp.  The Beef and Broccoli was actually very good. The,3,0,7/15/2012,CQPewybuIByC8wgps9CmqA,6,168,0
-9UpJlH7f9a0xUj8Plot6A,WZq0FC-0HS6_R4pKUy_3Ig,I've been to several of the Brazilian steakhouse concepts and enjoy them all.  I really do hope 3rd time's a charm for this location though since we've had Sal y Carvao and Zed451 already. They have changed a bit of the decor inside from the previous owner (same one for both names) and the waiter's attentiveness was second to none. We went early on a Saturday as we have a 2 year old and it seems that there were plenty others there who had the same idea.  This isn't really the most kid-friendly place to bring a child but what I loved was that we weren't charged for our little guy.  I'm not sure if that's the norm or at what age that kicks in but since he had some of the salad bar items and only a little bit of the bacon-wrapped chicken he was still satisfied and full and we didn't have to g,4,1,4/20/2010,WZq0FC-0HS6_R4pKUy_3Ig,58,225,1
-9WTAEagiFO9o3Rprs6MHw,qEv3LrfTm95_VJfU0hFQwA,It is a typical Longhorn. Good place to sit and wait for a flight. Very close to the main enterance of the airport.,4,0,8/13/2012,qEv3LrfTm95_VJfU0hFQwA,49,245,0
-9xdTH35nHCqInTgR1Oh1A,8lH88XdzbQKTFg9WQZeuCw,I'd been eyeing Yokohama s.drive tires for way too long. And I find there's a $40 rebate for Yokohama tires. Perfect. Discount Tire will price match on their tires which is awesome. They were selling s.drive tires for $91 and Tire Rack was $71. I filled out a little form online Sunday night and the next morning someone from this store called me to offer me $81 per tire essentially the Tire Rack price plus shipping. I ended up getting too involved in other stuff and called over Wednesday to set up everything. I didn't realize I was going to have to put down $200 for them to order the tires and was unprepared all day without the right credit card. Luckily my mom has a copy of it so I had her call them back to finish everything. My only issue is that they did not tell me they were char,5,1,6/14/2011,8lH88XdzbQKTFg9WQZeuCw,47,339,0
-9ZJupUhzioqE0WPVFEwag,H2DNqyt2CR5a8Gv3Jisqhg,Stella I wanted so bad to love you. I loved the deco friendly and fast service clean bathrooms. Stella is running a tight ship and it shows. I also loved the lemonade! Just like grandma would for make. I was a cheap date and loved I ordered two signature items from a restaurant for under 7 dollars. Don't know too many place I can say that. Nevertheless it is the food I've come for; want I need to love. I can't say that Stella. I was let down by the baked mac and cheese. At first bite the dish was promising. But after taking more bites I felt something was missing and I could not put my finger on what. I did like its baked taste. However I expected the dish to have more favor such as a bolder cheese sauce. I will say Stella's baked mac and cheese was better than most attempts in Ch,3,1,6/11/2012,H2DNqyt2CR5a8Gv3Jisqhg,20,173,0
-9_3U0tnmGuGTi22BH22UA,tXjgev2UOr_8HTWcQFZ3OQ,Purchased a Living Social deal for this gym a 2 month membership of their workout. I am a total newbie when it comes to weightlifting I have no idea how to rack up weights how many reps to do and I have no idea what the machines do! So imagine yourself in the shoes of a very confused girl who never does strength training. To start off it was very easy to set up an appointment online - the calendar is easy to navigate and you pick a 2 hour block that works to your schedule. When I arrived at the gym I was immediately greeted by the personal trainer Rhea who was very friendly explained the concept of the gym showed me some success stories personalized my goals and even gave me personal nutrition tips. She really knew her stuff. Next she took me through the circuit. Private Worko,4,0,10/16/2012,tXjgev2UOr_8HTWcQFZ3OQ,8,136,0
#NAME?,7dwh3pL2tbSeSvL0qLzUrw,5 Stars for the salesman  who will go nameless. Stand up guy did not BS wanted to make a sale more than you wanted to buy a car so he's not there to waste anyones time with bad pricing. 3 Stars used car manager. I'm going out on a limb here and assuming that the used car manager may/may not be slightly untruthful with his pricing/selling etc. 2 Stars Bob Rohrman. Your commercials do not fool me. I don't think you are affable and the culture of fear you creat in each member of your workforce is absolutely written all over their faces. Your ads with your forces smile and even more strained/fake laughter only turn my stomach. I can only imagine what happens behind closed doors when you are ripping off managers arms and beating them over the head because they didnt sell 1000 units that mont,3,3,3/13/2012,7dwh3pL2tbSeSvL0qLzUrw,24,461,0
#NAME?,OwUchEzH_wbPPhWNtiZyLQ,how the terminal got less than 5 stars from anyone is beyond me.  this place is great for dates kids chillin' solo out of town guests - you name it. we always end the choices cafe urban plunge by taking our visitors from chicago to the the cincy histroy part.  i love this place.,5,2,6/11/2012,OwUchEzH_wbPPhWNtiZyLQ,31,260,0
#NAME?,OwUchEzH_wbPPhWNtiZyLQ,helluva place. learned me well and cared for me when i was a college goof. the english department is the tops i gotta say. small convenient challenging. 4 stars because it ain't affordable.  however they dish out loads of assistance.  good on ya x.,4,0,11/22/2011,OwUchEzH_wbPPhWNtiZyLQ,31,260,0
#NAME?,vvKBMX2yw1rTcS-UzP_RUg,Friendly wait service yummy blueberry and ginger muffin.,3,1,5/20/2012,vvKBMX2yw1rTcS-UzP_RUg,0,150,1
#NAME?,vazTanfeJwjbokWZrGpNzg,Went here with a group of 24. They assigned us one waiter. It took FOREVER to get drinks take orders bring out food. Right across from me they were half finished with their lunch before I even got mine. Chips and salsa were pretty standard and food sort of bland. Everything looked better than it really was.  Some had tortilla soup next to me and it didn't look like any tortilla soup I had ever had - large chunks of avacado in it. He said it was good. If I ever go back I'll get that and salad. The salads did look good. Usually in a large group they will add the tip. They didn't here. Surprising but good for the waiter since I usually tip more than they will add. The waiter did good considering how large our group was. It just would have been nice to have at least 2 waiters. BTW - thi,3,1,12/17/2010,vazTanfeJwjbokWZrGpNzg,124,457,0
#NAME?,7dwh3pL2tbSeSvL0qLzUrw,I really wish the Subway at Loyola was better. This place is profit factory with people rolling through here non stop. I would hope they would have slightly fresher bread and ingredients. Also the seating is worse than at average Subway it is a little more crammed in and uncomfortable. On the flipside they do have quick service and manage to keep this one pretty clean. Also if you would like a crack head to sell you street wise that can be easily arranged.,3,1,7/19/2011,7dwh3pL2tbSeSvL0qLzUrw,24,461,0
#NAME?,aZmkHjoEHe2MRl2W_xAMfQ,Because I am a non-cooker with complete mastery of take-out ordering I decided that instead of eating out on Thanksgiving I would order Echo Valley's catered Thanksgiving meal. This was one of the best decisions I've made this holiday season! The first part that caught my eye was the $10-per-person price tag and the second part was the menu itself: BOTH turkey breast and ham stuffing rolls cranberry relish AND my choice of 3 sides. I chose garlic mashed (completely delicious) corn and cheddar casserole (yummo) and green beans with bacon & onions (very good). Oh and there was TONS of each item. Leftovers even after doling out take home portions to the guests. The only drawbacks were that their location is all the way in Bartonville but is still pretty easy to find and also the storage,5,2,12/01/2011,aZmkHjoEHe2MRl2W_xAMfQ,31,103,0
#NAME?,NeKmf307A2ebhi-eTCvTuQ,Was shopping for the car and couldn't believe how unhelpful sales person was when I walked in the door. It felt that I'm bothering him and I almost left but there was another guy Frank Billman who sensed that and kind of took over. He was very helpful and attentive. He took his time answered all my questions and gave me print outs. After visiting few dealerships I decided on Mercedes as I had good experiences right from the start. Perhaps if not the first guy I would bought something from Frank.,3,0,6/03/2012,NeKmf307A2ebhi-eTCvTuQ,0,9,1
#NAME?,Ai7ZSET9dbL-h1qUdcyC5Q,The pull to get us to sit down was stellar.  All restaurants in the general vicinity will try to show you the menu to tempt you  but the person outside with the hostess was just too charming. We didn't really care where we ate so we decided to try it out. We had Spicy Calamari and Tuna Ceviche for appetizers and both had Pasta Bolognese for our main course.  The Calamari was good unfortunately not spicy though.  The tuna was very good especially if you poured the soy sauce they served with it all over.  I was a bit confused though as they served soy sauce and guacamole on the side of the service.  So is it Mexican or Asian service? The pasta Bolognese sauce looked untraditional it was pink and looked very homemade.  It was delicious though warning to non-pork eaters it doesn't say,3,0,10/06/2008,Ai7ZSET9dbL-h1qUdcyC5Q,316,1146,0
#NAME?,0G-QF457q_0Z_jKqh6xWiA,Ok so this Chinese food is *really* good. Fan's is the real deal like you'd expect to find in any city's Chinatown: modest surroundings (but perfectly comfortable bright and clean) and a basic menu with things that appeal to those who want both authentic and Americanized options. It reminds me a lot of Panda Garden in Lawrence a favorite of both mine and the K. The proprietress of this establishment adds a whole other dimension of awesome to Fan's. She's really welcoming and accommodating. For our group she offered a vegetarian dumpling option which is not something that is usually on the menu. Keep in mind that the dumplings here are homemade so possibly if you call ahead of time and give her notice she'll make you some too. I ordered off the vegetarian section of the menu howev,4,4,3/10/2011,0G-QF457q_0Z_jKqh6xWiA,95,1010,0
#NAME?,GO7aCA5Fdi_4A6044Gbnew,This is my first time having Kolaches so I was pretty excited to try them. First impression they look like dinner buns and smell like tasty bread. But after my first bite I couldn't help but think the bread is BY FAR the best part. The innards of each Kolache was basically playing second fiddle to the bread. I'd love to give it another star or two but I'm guessing there are places out there where the quality of the inner stuffing matches the quality of the bread.,3,1,7/22/2012,GO7aCA5Fdi_4A6044Gbnew,3,110,0
#NAME?,VbNMQwizyLjSGeS8u70XIQ,We order take-out from these guys pretty regularly and the service even for that is excellent (first place I've ever been waiting for food at the bar where the waitress brought me a glass of water!). The one thing to pay attention to: Different cooks have different spice-level comprehension. Some days when I order mild I get mild. Some days when I order mild... I get oh-my-God hot. I deal with it (though it usually means I can't eat any left-overs given the way that spicy food increases its heat factor the longer it sits) but it may be a useful warning for the spice-challenged to keep in mind.,4,1,Update - 9/9/2008,VbNMQwizyLjSGeS8u70XIQ,104,169,0
#NAME?,CQPewybuIByC8wgps9CmqA,Since I haven't been to the Shedd Aquarium for a few years so I thought it was time to check the museum out again.  Plus the Jellie Fish exhibit intrigued me so what the heck?? Went on a Saturday morning when the museum first opened - no line - no wait - cool. For the most part the Shedd Aquarium is just like any other aquarium.  However the Jellie Fish exhibit was interesting and relaxing to watch.  Glad that I had paid extra for that exhibit.   The Aquatic show was okay. The views from the oceanarium are incredible. The Wild Reef exhibit was really nice. The team members were not really mingling with the guests.  I will say with the number of guests the place was very clean.   I wouldn't really spend that much time here.  Children seemed to enjoy themselves. As I was leaving there,3,0,12/19/2011,CQPewybuIByC8wgps9CmqA,6,168,1
#NAME?,yHKVmPE2YCZD_vd9-QCLag,Tantrik is my favorite nightclub in the city. Granted I'm not a big nightclub-goer but I've seen my fair share of what Chicago's club scene has to offer and Tantrik is on the top of the list. I went there recently for a New Year's Eve/birthday party and had a ton of fun. We got bottle service for our group of about 20 people. Prices were reasonable compared to other clubs in Chicago and there was no cover charge to get in the door. Also toward the end of the night when all of our bottles were empty they didn't kick us out of our bottle service area which is usually what happens at most clubs. They let us hang out until they closed. Also the bottle service area we had was really nice. We had a big white couch about a dozen small movable stools two coffee tables and an alcove that ,5,10,1/02/2011,yHKVmPE2YCZD_vd9-QCLag,9,152,0
#NAME?,dC5kYsLGGoLLVlMjeMqfLw,I finally made my way to the new Amway Center and was impressed. I was there for a Magic game meaning the house was almost packed. On each level of the center there was a good amount of food venues as well as shops. Parking in the garage was $20 (which I think is ok for a venue like this) but there was parking across the street for $10 and $5 a tad farther away. Pro to being in the garage is being close to the arena...and if it;s raining there is a bridge connecting the two. Prices were higher than outside venues ($5+ for sodas $8+ for beers $6+ for food) but you shoul expect that when going to a professional arena. Restrooms were clean and there were plenty of them. There's nothing worse than having to wait in a long line to go the bathroom after several drinks. Only real con would ,4,1,11/29/2010,dC5kYsLGGoLLVlMjeMqfLw,21,451,0
#NAME?,Amc7J0F3KeAKzOOQrlpqog,Best Pizza Chain Ever! It was kinda deserted when I visited here but it was early morning. They gave me a walk through and you can see the kitchen which to me that is a plus. (nothing like making sure where you food is isn't skanky.) Pizza Angelo: AMAZING!!!!!! Tender chicken breast mozzarella roasted corn fresh mushrooms fresh thyme and Alfredo sauce topped with Parmesan potato chips.,5,1,1/22/2010,Amc7J0F3KeAKzOOQrlpqog,84,365,0
#NAME?,1h1DD2hgfgud7V4NCE9mVg,I shouldn't tell you this but the am team--before 8 am that is--truly is the best. Recently it's had smaller lines and I love it. The male barista with the dark rimmed glasses is awesome and I told him so. So now he's even faster than before. I think that he's trained his female team to be equally as awesome. They offer extra foam extra sauce and when I accidentally grabbed a rotten yoghurt they replaced it for me. They could have said no but they didn't. It's SB after all! They are all so nice and smiley and well I hope that no one reads this so that I can return. I also hope that I haven't jinxed this SB because boy have they come a long way.,5,5,Update - 5/8/2012,1h1DD2hgfgud7V4NCE9mVg,36,420,0
#NAME?,RO78jiBkX61pPweJLVlCgA,Holy crap! God Damn!!! I am still exclaiming those exclamations nearly two hours after I have finished eating my dinner there. Yes service is on the slower side but Stanley our server who is from Kingston made us feel like we were right at home. They were out of a few things but I am willing to forgive as everything was OUTSTANDING!!! To drink I  had a ginger beer which was a little stronger than I expected but tasty and refreshing nonetheless. We had a seafood sampler for an appetizer and the coconut shrimp was very good and the crab cake had a nice kick to it. My main dish was curried goat and it was also delicious. It had some spice to it but it did not immidately overpower every other flavor in the dish. After a while the spice started to build up but it was not so bad that I was not,5,5,6/10/2009,RO78jiBkX61pPweJLVlCgA,232,893,0
-ACwNzGzMAm22qK-4jTQYw,IvSuiHmpOqKtjx2d_kh9JA,first off lets just say I LOVE DINERS and this one fits the bill great food clean environment fast friendly waitstaff...and great food. I wish I lived closer but then again maybe its a good thing I don't! I definately recommend Georgies,5,0,3/25/2011,IvSuiHmpOqKtjx2d_kh9JA,38,123,0
#NAME?,rEpkLONhLOSwGqs7ZnVZWA,Relaxed gets a '3' because of the extreme variation amongst their services. Tanning is great - friendly people usually no wait effective bulbs.  While the tanning packages are a little pricey (although that can be expected in DC) I have no other complaints .... overall great experience. Now let's talk about the nail services...I steam up just thinking about it. I went to Relaxed a few weeks ago for a mani/pedi.  I don't even know where to start so here we go -- first it took over 2 hours almost twice as long as a mani/pedi should. The pedicure chairs were awkward - I had to lean back to almost laying to get my feet to the edge of the tub. She filed my nails down too far and it was painful. Long story short I chose a dark purple color and it took her FOREVER to get it on my nails cle,3,8,4/22/2010,rEpkLONhLOSwGqs7ZnVZWA,3,75,0
#NAME?,KYtrBL_Cp1CudlGC1XiiSA,Thanks to the Coral Gables Trolley I can actually take public transportation to and from work regularly. It is convenient effective reliable and free. It is my chosen mode of transportation during my lunch hour unless I am walking but I don't have to move my car all day long which is a great perk and it makes me feel a bit green. An added bonus is that because it only runs until 8 PM I cannot stay late in the office if I want to catch the last trolley to the train station. What a fantastic idea !! It is also good to see that it gets pretty packed which means it is serving its purpose in the community.,5,6,4/14/2010,KYtrBL_Cp1CudlGC1XiiSA,174,1022,0
#NAME?,afPIUwUh0C_lgHvt77cneg,What a gem! This place is perfection! Great way to enjoy a $12 sandwich for lunch with 5 star service right on the green! The dinner menu is competitively priced. The service is superb. The scenery of the golf course sunset & ocean view is marvelous! Also a great place to enjoy a glass of wine next to one of their fire pits! A real fave!,5,3,9/07/2012,afPIUwUh0C_lgHvt77cneg,55,398,0
#NAME?,lRVCXOkBmVtJg_rQrvjZgw,One of my favorite get-aways. Free pool on Sundays Mondays & Tuesdays.   Has darts video crack karaoke live bands jukebox drink specials & awesome bartenders (who make the greatest Adios'). Owner has been making upgrades for awhile...new furniture in back room & new TVs to watch your favorite games...but don't get it twisted. This is still very much a dive bar. Food close by & definitely some great patrons. Late weekend nights can definitely bring some drama....but ya might like that if it's your kinda thing.,4,1,4/21/2011,lRVCXOkBmVtJg_rQrvjZgw,14,67,0
#NAME?,MI3wG3R12sQuTGdNvBBX3A,"What a surprising place! Dim lighting elegant (yet modern) decorations and live jazz (on Thursday evenings) while I eat... a waffle and fried chicken! Who would have thought that such unassuming fare could be dressed up to such a high gloss?! Not I! Service was superb. The host smiled and ushered us to a high back booth where we had a good view of the entire restaurant (including the magicians) but still felt some sense of privacy. The server kindly explained the different combinations of chicken and made gentle recommendations based on popularity. She made sure that our drinks were always filled bringing us new glasses each time. That brings me to the drinks. Chicago's Home of Chicken & Waffles II doesn't serve alcohol but they have a lot of surprising mixed"" drinks. All of the name""",5,15,1/21/2012,MI3wG3R12sQuTGdNvBBX3A,20,313,0
#NAME?,RqR1bGDgdOPyHDnI73LeFw,* The price was just about right * Nabob has set up a pop-up cafe on Robson Square between Hornby and Howe.  It looks like a classic outdoor food stand cafe with a few small tables and everything.   The only difference is the price.  It is entirely free.  That is right.  Free.   It basically is a very large marketing promotion to give samples and coupons of their supermarket coffee.   I had a cup of 100% Columbian.  It was definitely not an amazing cup of coffee by far.  But the price was right!,3,11,9/02/2011,RqR1bGDgdOPyHDnI73LeFw,551,1132,0
#NAME?,EGYsPKoNGf8kqAO-Ma-8TQ,This is not a place you will enjoy if you are sober or trying to save a bit of cash. Most annoying is the guest list policy but I don't think this is particularly different to other clubs. Clearly it is geared to getting the pretty ladies in and the men to spend $$$$. The only reason I went is for a friend's 30th party. For that it turned out a different way to have fun as they have live performances later at night: girls with saws spitting out sparks everywhere while they danced on the bar counter. One of the bar girls was tattooed all over and wearing very little. Ok you don't get to see that every day but boy they do want you to know it! Can't wholeheartedly recommend it due to the snootiness of the Mayfair vibe but if you've got cash to splash and want to surprise an overseas visitor,2,4,9/15/2010,EGYsPKoNGf8kqAO-Ma-8TQ,17,83,0
#NAME?,pW9LvtC-hZ0PRAOUn7aZ2A,It's another Dollar Tree. Yes it right off Washington St and viable from 128/I-95. You know the one. It a big store  as I have seen some smaller ones. Everything's a dollar and they do have some useful items. I get janitorial supplies for work here and stock up regularly. The parking lot is a pain but that is the only neg I can think of.,3,1,6/23/2012,pW9LvtC-hZ0PRAOUn7aZ2A,834,1463,0
#NAME?,NnrCwpS1i5mZtkGGzmIk0g,This place is delish!  I used to go to their location in Shadyside but since working downtown their Market Square location is super convenient.   All their pastries are baked to perfection!  I try not to think of how bad they are for you but I think treating yourself once in a while is totally worth it.  I've had their smores which are actually choclate cake inside with marshmallow cream on top and graham cracker crumbles sprinkled all over.  Their cookies are amazing and their pecan tassies are scrumptious.  I've had their almond torte (which they seem to be known for) and it is something to be reckoned with.  I didn't think I would be a fan but how could you not like that delectable torte!  Go out and get some baked goods from this place and you be the judge.,5,1,8/17/2010,NnrCwpS1i5mZtkGGzmIk0g,22,246,0
#NAME?,2p35UrsLuMspndW5lZjJgQ,This place is pretty good grubbing fare. I usually just come here for lunch sometimes since its somewhat close to work. Usually I get the salmon with a sweet potatoe which i love! and a salad. Like I said usually pretty good. This time I decided to switch it up and had there bbq combo platter which was one of there specials.  It came a with a side of ribs (3) some pulled pork and a qtr of chicken (leg and thigh).  All was actually very good being that it was Roadhouse Grill. Not overly done on the sauce i figured i was going to end up asking for more on the side but actually didnt. Tasty to boot. Yes plus my sweet potatoe and love there rolls!! mm mm mmm. The servers are pretty attentive and you have to try there promegranite lemonade...OHHH damn it was delicious.  Anyway,5,1,10/30/2009,2p35UrsLuMspndW5lZjJgQ,57,436,0
#NAME?,rqY0AQMUtoDQnfgxCNuKgw,Quite simply the best valet parking lot at Bradley. Other than parking at the airport (a great -- but expensive -- option) this is the best option. They have deals for AAA too so its a pretty good bargain. Why? Because it gets you TO the airport and FROM the airport the quickest. I've tried others and they don't have the numbers of vans that Roncari has.  Have waited no more than 4-5 minutes -- and that was coming in at 3:30a due to a delay.  I'll give them that one. Most of the time there's one there.   People are friendly and they aim to get you in or out quickly.  Good stuff.,5,1,11/19/2010,rqY0AQMUtoDQnfgxCNuKgw,34,318,0
#NAME?,AuQhzw263x31ysaOvtHWKA,After searching the Oak Park area in vain for my daughter's first oboe we heard about Luscombe Music.  Not only did they have a number of nice student oboes (wood ones not plastic) the store was clean bright and well organized.  A bit out of the way but worth the trip. EDIT May '08:  These folks are not so great to work with.  When an instrument needs repair they will keep it for more than two weeks and not offer a replacement then they have the chutzpah to charge the full month's rental fee.,2,3,9/15/2007,AuQhzw263x31ysaOvtHWKA,169,329,0
#NAME?,QQuy7MENd5YHFhfLaLtPNw,Redwood Lodge is definately one of my favorite restaurants of all time anywhere!! The food is off the charts and the service is exceptional. They offer unique (house) salads that I have yet to compare to anywhere else in that they use other forms of lettuce and greenery as well as cranberries and nuts and crumbled cheese and other craziness.  they have the best salads! they microbrew their own beer which has always been an adventure to the palate.  the beer goes down good so that's a plus!  They have won several awards for their microbrews so drink up those pints mates! the decor is backwoods lodgey but its not overdone and its not in your face so it is a non issue. the food is to die for and has never disappointed. bring your charge card though because they ARE quite pricey. that's,5,1,8/26/2007,QQuy7MENd5YHFhfLaLtPNw,121,184,0
